"number" "dsum" "count" "missing" "quant_error" "fname"
0 4274.34 5407 4960 0.000600180 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bowen_human_footprint_inv.tif"
1 7.0 7 10361 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/el.tif"
2 87.0 87 10281 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/bs.tif"
3 20.0 20 10348 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/mf.tif"
4 4.0 4 10364 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/vs.tif"
5 276.0 276 10092 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/cs.tif"
6 113.0 113 10255 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/OF.tif"
7 995.0 995 9373 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YS.tif"
8 4015.0 4015 6353 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/MF.tif"
9 1361.0 1361 9007 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/YF.tif"
10 5.0 5 10363 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Slendersedge_Whitebeak_rush.tif"
11 36.0 36 10332 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cladina_Wallacesselaginella.tif"
12 3.0 3 10365 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Labradortea_Bog_laurel_Peat_moss.tif"
13 27.0 27 10341 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Pl_Sphagnum.tif"
14 6.0 6 10362 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Sweetgale_Sitkasedge.tif"
15 13.0 13 10355 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hardhack(pinkspirea)_Sitkasedge.tif"
16 246.0 246 10122 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Fd_Swordfern.tif"
17 54.0 54 10314 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage(Ws53_Cw_Swordfern_Skunkcabbage).tif"
18 181.0 181 10187 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwCw_Deerfern.tif"
19 365.0 365 10003 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdPl_Cladina.tif"
20 47.0 47 10321 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwBa_Blueberry.tif"
21 411.0 411 9957 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Swordfern.tif"
22 9.0 9 10359 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage.tif"
23 102.0 102 10266 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/RockOutcrop.tif"
24 116.0 116 10252 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdHw_Salal.tif"
25 318.0 318 10050 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Foamflower.tif"
26 2882.0 2882 7486 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwFd_Kindbergia.tif"
27 2127.0 2127 8241 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hw_Flatmoss.tif"
28 1569.0 1569 8799 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/riparian.tif"
29 3157.0 1989 8379 2.63756e-06 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/streams.tif"
30 62.0 62 10306 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/lakes.tif"
31 147.0 147 10221 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/ponds.tif"
32 471.0 471 9897 0.0 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/wetlands.tif"
33 4571.7 5408 4960 0.000416627 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.cooperii_NAs_pu_mask.tif"
34 4925.37 5408 4960 1.67048e-05 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Accipiter.striatus_NAs_pu_mask.tif"
35 4192.19 5408 4960 0.00176454 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Actitis.macularius_NAs_pu_mask.tif"
36 3091.18 5408 4960 0.00151315 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aechmophorus.occidentalis_NAs_pu_mask.tif"
37 3738.06 5408 4960 0.000200728 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Agelaius.phoeniceus_NAs_pu_mask.tif"
38 3737.65 5408 4960 0.00314818 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aix.sponsa_NAs_pu_mask.tif"
39 4961.37 5408 4960 0.00454197 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.gracile_NAs_pu_mask.tif"
40 4642.56 5408 4960 0.00373411 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ambystoma.macrodactylum_NAs_pu_mask.tif"
41 3543.51 5408 4960 0.000909935 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.acuta_NAs_pu_mask.tif"
42 3929.25 5408 4960 0.00267528 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.americana_NAs_pu_mask.tif"
43 3378.82 5408 4960 0.00190966 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.clypeata_NAs_pu_mask.tif"
44 3578.12 5408 4960 2.01934e-05 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.crecca_NAs_pu_mask.tif"
45 2881.07 5408 4960 0.00116968 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.cyanoptera_NAs_pu_mask.tif"
46 3070.02 5408 4960 0.00147448 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.discors_NAs_pu_mask.tif"
47 4175.09 5408 4960 0.00170151 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.penelope_NAs_pu_mask.tif"
48 4038.52 5408 4960 0.000672567 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.platyrhynchos_NAs_pu_mask.tif"
49 3046.64 5408 4960 0.00362440 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anas.strepera_NAs_pu_mask.tif"
50 3908.11 5408 4960 0.00287125 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anser.albifrons_NAs_pu_mask.tif"
51 4596.06 5408 4960 0.00313858 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Anthus.rubescens_NAs_pu_mask.tif"
52 4247.72 5408 4960 0.00290921 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Ardea.herodias_NAs_pu_mask.tif"
53 4703.53 5408 4960 0.00341817 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Arenaria.melanocephala_NAs_pu_mask.tif"
54 3813.96 5408 4960 0.00131064 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.affinis_NAs_pu_mask.tif"
55 1656.97 5408 4960 0.00114536 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.americana_NAs_pu_mask.tif"
56 4154.88 5408 4960 0.00318931 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.collaris_NAs_pu_mask.tif"
57 4457.94 5408 4960 0.00298463 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Aythya.marila_NAs_pu_mask.tif"
58 4552.74 5408 4960 0.000260144 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bombycilla.cedrorum_NAs_pu_mask.tif"
59 5041.37 5408 4960 0.000227139 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Brachyramphus.marmoratus_NAs_pu_mask.tif"
60 4136.66 5408 4960 0.00105562 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Branta.bernicla_NAs_pu_mask.tif"
61 4259.33 5408 4960 0.000392566 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Branta.canadensis_NAs_pu_mask.tif"
62 3816.15 5408 4960 0.00280940 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Branta.hutchinsii_NAs_pu_mask.tif"
63 4488.18 5408 4960 0.00160271 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bubo.virginianus_NAs_pu_mask.tif"
64 4682.93 5408 4960 0.00300500 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bucephala.albeola_NAs_pu_mask.tif"
65 4391.47 5408 4960 0.000620425 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bucephala.clangula_NAs_pu_mask.tif"
66 4777.89 5408 4960 0.00501226 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Bucephala.islandica_NAs_pu_mask.tif"
67 4306.84 5408 4960 0.00157807 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Buteo.jamaicensis_NAs_pu_mask.tif"
68 3357.82 5408 4960 0.00125000 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.alpina_NAs_pu_mask.tif"
69 3686.39 5408 4960 0.00450621 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.mauri_NAs_pu_mask.tif"
70 2681.09 5408 4960 0.00193828 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.melanotos_NAs_pu_mask.tif"
71 3610.76 5408 4960 0.000438537 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calidris.minutilla_NAs_pu_mask.tif"
72 3550.53 5408 4960 0.000212279 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Calypte.anna_NAs_pu_mask.tif"
73 4889.65 5408 4960 0.00262158 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cardellina.pusilla_NAs_pu_mask.tif"
74 3620.57 5408 4960 0.00224426 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carduelis.flammea_NAs_pu_mask.tif"
75 4767.68 5408 4960 0.00135853 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carduelis.pinus_NAs_pu_mask.tif"
76 4107.11 5408 4960 0.000444174 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carduelis.tristis_NAs_pu_mask.tif"
77 5015.43 5408 4960 0.00451347 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carpodacus.mexicanus_NAs_pu_mask.tif"
78 4777.89 5408 4960 0.00163152 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Carpodacus.purpureus_NAs_pu_mask.tif"
79 4957.78 5408 4960 0.00263779 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cathartes.aura_NAs_pu_mask.tif"
80 4888.04 5408 4960 0.00248759 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Catharus.guttatus_NAs_pu_mask.tif"
81 4959.48 5408 4960 0.00331771 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Catharus.ustulatus_NAs_pu_mask.tif"
82 5024.78 5408 4960 0.00588017 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cepphus.columba_NAs_pu_mask.tif"
83 3866.16 5408 4960 0.00167271 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cerorhinca.monocerata_NAs_pu_mask.tif"
84 5077.45 5408 4960 0.000256700 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Certhia.americana_NAs_pu_mask.tif"
85 5011.33 5408 4960 0.00122235 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chaetura.vauxi_NAs_pu_mask.tif"
86 3654.4 5408 4960 0.00199814 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Charadrius.vociferus_NAs_pu_mask.tif"
87 3564.01 5408 4960 0.00165244 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chen.caerulescens_NAs_pu_mask.tif"
88 4646.85 5408 4960 0.00112120 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chordeiles.minor_NAs_pu_mask.tif"
89 4247.37 5408 4960 0.00260920 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Chroicocephalus.philadelphia_NAs_pu_mask.tif"
90 3373.81 5408 4960 0.00248465 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Circus.cyaneus_NAs_pu_mask.tif"
91 3298.09 5408 4960 0.000615555 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cistothorus.palustris_NAs_pu_mask.tif"
92 4731.98 5408 4960 0.00235797 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Clangula.hyemalis_NAs_pu_mask.tif"
93 4439.11 5408 4960 0.00161882 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Coccothraustes.vespertinus_NAs_pu_mask.tif"
94 4426.94 5408 4960 0.00289987 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Colaptes.auratus_NAs_pu_mask.tif"
95 4704.35 5408 4960 0.000345198 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Contopus.cooperi_NAs_pu_mask.tif"
96 3795.59 5408 4960 0.000515913 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Contopus.sordidulus_NAs_pu_mask.tif"
97 1671.78 5408 4960 0.00325964 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Corvus.brachyrhynchos_NAs_pu_mask.tif"
98 4678.39 5408 4960 0.00111231 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Corvus.caurinus_NAs_pu_mask.tif"
99 4888.15 5408 4960 0.00229763 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Corvus.corax_NAs_pu_mask.tif"
100 4987.93 5408 4960 0.00160960 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cyanocitta.stelleri_NAs_pu_mask.tif"
101 4443.5 5408 4960 0.00373447 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cygnus.buccinator_NAs_pu_mask.tif"
102 3033.34 5408 4960 0.00161834 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cygnus.columbianus_NAs_pu_mask.tif"
103 4953.67 5408 4960 0.00347198 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Cypseloides.niger_NAs_pu_mask.tif"
104 5125.5 5408 4960 0.0143941 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dendragapus.fuliginosus_NAs_pu_mask.tif"
105 4495.0 5408 4960 0.00189426 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dendroica.petechia_NAs_pu_mask.tif"
106 5045.54 5408 4960 0.0102773 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dendroica.townsendi_NAs_pu_mask.tif"
107 4861.5 5408 4960 0.00128523 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dryocopus.pileatus_NAs_pu_mask.tif"
108 1344.96 5401 4967 0.00274340 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Dumetella.carolinensis_NAs_pu_mask.tif"
109 5173.84 5408 4960 0.00891860 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Empidonax.difficilis_NAs_pu_mask.tif"
110 4874.64 5408 4960 0.00148877 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Empidonax.hammondii_NAs_pu_mask.tif"
111 4775.1 5408 4960 0.00123275 "/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/sdm/Empidonax.traillii_NAs_pu_mask.tif"
